customer_id,first_name,last_name,birth_date,enrollment_date,customer_segment,employer_id,email,phone,address_city,address_state
CUS000100,Erin,Lucas,2002-05-18,2024-02-28,Mass Market,EMP0059,erin.lucas@yahoo.com,001-933-355-9142,New Mistymouth,WV
CUS000101,Christopher,Adkins,1980-05-17,2020-08-11,Mass Market,EMP0114,christopher.adkins@gmail.com,380.926.2661x197,Lake Aliceberg,SC
CUS000102,Eric,Duarte,1966-05-18,2020-03-04,Mass Market,EMP0246,eric.duarte@gmail.com,001-310-398-8096x412,East Barbara,MT
CUS000103,Gerald,Brewer,2001-05-17,2020-06-14,Mass Market,EMP0076,gerald.brewer@yahoo.com,856.588.2492x800,Thomasport,CA
CUS000104,Kristina,Price,1987-05-18,2023-05-08,Mass Market,EMP0233,kristina.price@hotmail.com,710-747-8121x02804,Lake Jerryton,NC
CUS000105,Melissa,Smith,1972-05-17,2023-08-26,High Net Worth,EMP0283,melissa.smith@hotmail.com,001-989-459-6549x94254,West Robertside,WA
CUS000106,Ellen,Bell,1982-05-18,2024-08-21,Mass Market,EMP0213,ellen.bell@yahoo.com,001-490-262-9025x4176,Stephanieside,WA
CUS000107,Alicia,Carter,1962-05-18,2022-02-05,Ultra High Net Worth,EMP0352,alicia.carter@gmail.com,529.909.3949,Taylortown,NM
CUS000108,Kathleen,Hunt,1993-05-17,2024-03-04,Affluent,EMP0416,kathleen.hunt@yahoo.com,972-527-3757,South Kathleen,FL
CUS000109,Denise,Stewart,1957-05-17,2022-04-21,Mass Market,EMP0341,denise.stewart@hotmail.com,001-907-498-3053x0412,South Jeffery,WI
CUS000110,David,Williams,1994-05-18,2023-03-29,Mass Market,EMP0080,david.williams@gmail.com,976.867.5663,Reillyhaven,TX
CUS000111,Douglas,Bell,1972-05-17,2022-01-22,Mass Market,EMP0143,douglas.bell@yahoo.com,518-865-6032,Banksbury,OR
CUS000112,Andrew,Chaney,1958-05-18,2023-09-09,Affluent,EMP0137,andrew.chaney@yahoo.com,918.928.2102,Smithborough,AK
CUS000113,Jeremy,Hartman,1941-05-17,2021-12-19,Mass Market,EMP0446,jeremy.hartman@yahoo.com,(202)432-1513x6293,Lisaborough,GA
CUS000114,Jimmy,Finley,1973-05-17,2020-03-03,Mass Market,EMP0272,jimmy.finley@yahoo.com,740.900.2356x28629,Lake Patrick,IN
CUS000115,Nathan,White,2001-05-17,2021-09-30,Affluent,EMP0398,nathan.white@gmail.com,001-365-667-9588x68564,Cynthiafort,OR
CUS000116,Ray,Thompson,1998-05-18,2023-06-19,Mass Market,EMP0042,ray.thompson@gmail.com,(834)715-9355,Lake Daniel,LA
CUS000117,Reginald,Johnson,1982-05-18,2021-03-17,Affluent,EMP0059,reginald.johnson@hotmail.com,267-785-6943x4818,West Emmabury,MN
CUS000118,Adam,Logan,1992-05-17,2021-09-23,Mass Market,EMP0203,adam.logan@gmail.com,268.874.4363x907,Mitchellhaven,RI
CUS000119,Noah,Williams,1941-05-17,2024-04-20,Mass Market,EMP0131,noah.williams@hotmail.com,5252279474,New Kelli,ME
CUS000120,Robert,Parker,1975-05-18,2020-12-25,Mass Market,EMP0273,robert.parker@gmail.com,997.245.5919,Port Matthewborough,VA
CUS000121,Dawn,Powell,2004-05-17,2024-02-28,Mass Market,EMP0010,dawn.powell@yahoo.com,391-390-0774x38935,South Tracy,NJ
CUS000122,Bryan,Maddox,1985-05-17,2023-12-24,Affluent,EMP0149,bryan.maddox@gmail.com,001-392-633-1694,Jamesview,DE
CUS000123,Benjamin,Walsh,1965-05-17,2023-06-19,Mass Market,EMP0354,benjamin.walsh@hotmail.com,663-597-5468x53270,New Kristinside,MS
CUS000124,Phillip,Castro,1982-05-18,2022-03-31,Mass Market,EMP0203,phillip.castro@gmail.com,836-881-7659,Brookemouth,MD
CUS000125,Brandon,Taylor,1968-05-17,2020-06-05,Mass Market,EMP0059,brandon.taylor@hotmail.com,3854339208,New Daniel,ND
CUS000126,Virginia,Morales,1989-05-17,2024-08-04,Affluent,EMP0076,virginia.morales@hotmail.com,297.709.2130x71911,Houseview,KS
CUS000127,Dana,Tate,2006-05-18,2020-11-09,Affluent,EMP0336,dana.tate@hotmail.com,(720)256-0913x595,Garzaton,CA
CUS000128,Brianna,Gomez,1960-05-17,2024-04-05,Mass Market,EMP0349,brianna.gomez@gmail.com,+1-769-688-7793x822,Hollytown,OR
CUS000129,Steven,Moore,1956-05-17,2023-07-08,Mass Market,EMP0226,steven.moore@hotmail.com,916.860.8854x552,New Jenniferland,CA
CUS000130,Larry,Sanford,1955-05-18,2023-04-26,Mass Market,EMP0260,larry.sanford@hotmail.com,9856251684,Lake Danielberg,CA
CUS000131,Kendra,Barnes,2003-05-18,2024-08-30,Mass Market,EMP0331,kendra.barnes@hotmail.com,001-639-641-0750,Sanchezburgh,CO
CUS000132,Diana,Jenkins,1976-05-17,2023-02-09,Ultra High Net Worth,EMP0379,diana.jenkins@yahoo.com,+1-594-696-4431,East Donald,AZ
CUS000133,Samuel,Molina,1977-05-17,2022-09-01,Mass Market,EMP0491,samuel.molina@gmail.com,+1-519-604-2797,Laneland,AR
CUS000134,Krystal,Mason,1940-05-17,2020-06-21,Mass Market,EMP0089,krystal.mason@yahoo.com,(269)446-8279x972,Farmertown,AZ
CUS000135,Brian,Zamora,1981-05-17,2021-08-02,Mass Market,EMP0397,brian.zamora@hotmail.com,917-336-0389,Catherinechester,MI
CUS000136,Paul,Murphy,1997-05-17,2020-07-12,Mass Market,EMP0198,paul.murphy@hotmail.com,+1-467-666-1449,South Cindyfurt,ME
CUS000137,David,Simon,2003-05-18,2023-09-21,Mass Market,EMP0180,david.simon@hotmail.com,(388)603-7557x283,South Christina,MD
CUS000138,Meghan,Ramos,1983-05-18,2022-02-10,Affluent,EMP0169,meghan.ramos@gmail.com,001-641-454-1029x532,East Melissa,FL
CUS000139,Rachel,Hall,1979-05-18,2020-02-07,Mass Market,EMP0093,rachel.hall@gmail.com,001-595-357-2790x180,North Scottbury,IN
CUS000140,Michael,Bowers,1943-05-18,2020-11-13,Mass Market,EMP0433,michael.bowers@yahoo.com,+1-590-895-4883x49436,Thomasmouth,CT
CUS000141,Crystal,Romero,1952-05-17,2024-04-18,Affluent,EMP0306,crystal.romero@gmail.com,(971)650-2705x322,Andrewport,MO
CUS000142,Jennifer,Gonzalez,1970-05-18,2020-03-30,Mass Market,EMP0347,jennifer.gonzalez@hotmail.com,+1-857-506-8238,Port Margaretberg,WA
CUS000143,Matthew,Costa,1956-05-17,2024-05-24,Mass Market,EMP0274,matthew.costa@yahoo.com,(784)717-6486x8315,Ellisside,KS
CUS000144,Douglas,Ali,1969-05-17,2023-03-14,Ultra High Net Worth,EMP0237,douglas.ali@gmail.com,(465)330-4658,Lake Tiffany,WY
CUS000145,Jennifer,Leon,1937-05-17,2024-07-30,Mass Market,EMP0310,jennifer.leon@hotmail.com,(881)738-8790,New Nicole,FL
CUS000146,Julia,Rodriguez,1955-05-18,2023-02-09,High Net Worth,EMP0365,julia.rodriguez@yahoo.com,903-297-1155,Gomezfurt,ND
CUS000147,Michael,Hernandez,1986-05-18,2022-11-17,Mass Market,EMP0224,michael.hernandez@gmail.com,+1-920-440-5540,Chavezview,CO
CUS000148,Emily,Rodriguez,1981-05-17,2022-03-22,Mass Market,EMP0121,emily.rodriguez@yahoo.com,001-961-668-1826x23253,Richardview,MO
CUS000149,Trevor,Cox,1984-05-17,2020-07-21,Affluent,EMP0333,trevor.cox@yahoo.com,525.868.9842x9429,Adamsfurt,MI
CUS000150,Vicki,Brown,1991-05-18,2024-08-26,Mass Market,EMP0426,vicki.brown@yahoo.com,5156761797,North David,FL
CUS000151,Juan,Burke,1950-05-18,2020-02-08,Mass Market,EMP0428,juan.burke@gmail.com,+1-848-510-0594,Kevinview,GA
CUS000152,Linda,Davis,1999-05-18,2021-08-13,Mass Market,EMP0063,linda.davis@yahoo.com,522-435-1582,New Carolmouth,AR
CUS000153,Alejandro,Barnes,2004-05-17,2022-10-20,Mass Market,EMP0009,alejandro.barnes@gmail.com,001-397-515-9978x58822,Port Codyville,SD
CUS000154,Catherine,Gallegos,1977-05-17,2020-01-04,Affluent,EMP0124,catherine.gallegos@hotmail.com,671.718.9426,Loribury,OR
CUS000155,Angela,Rodriguez,1990-05-18,2022-01-08,Mass Market,EMP0270,angela.rodriguez@hotmail.com,+1-452-584-9935x2729,Taylormouth,OH
CUS000156,Hannah,Green,1979-05-18,2022-08-20,Mass Market,EMP0199,hannah.green@gmail.com,001-909-574-8530,Smithmouth,MS
CUS000157,Ryan,Davidson,1995-05-18,2024-02-10,Affluent,EMP0054,ryan.davidson@yahoo.com,+1-306-569-9152x3405,North Juliehaven,WY
CUS000158,Mary,Pierce,1985-05-17,2021-11-24,Affluent,EMP0090,mary.pierce@yahoo.com,715-549-6620x004,South Charleschester,WY
CUS000159,Thomas,Walsh,1953-05-17,2024-07-19,Mass Market,EMP0367,thomas.walsh@gmail.com,934-724-7652x255,Lake Joshuaville,WY
CUS000160,Michael,Mosley,2000-05-17,2021-02-12,High Net Worth,EMP0162,michael.mosley@gmail.com,947.543.0711x30840,Torresfurt,MD
CUS000161,Jennifer,Melendez,1983-05-18,2024-03-22,Affluent,EMP0147,jennifer.melendez@hotmail.com,+1-615-820-3942x5928,Lake Cheryl,MN
CUS000162,David,Brady,1994-05-18,2024-06-25,Mass Market,EMP0456,david.brady@hotmail.com,630-684-8240x2549,New Jeremy,MT
CUS000163,Lindsey,Ray,1940-05-17,2022-10-13,Affluent,EMP0189,lindsey.ray@yahoo.com,798.760.2536x80371,Shelleyville,ND
CUS000164,Stacey,Lopez,2003-05-18,2023-05-18,Ultra High Net Worth,EMP0093,stacey.lopez@hotmail.com,001-296-600-3651x260,Lake Melissafurt,OH
CUS000165,Amanda,Gonzalez,1985-05-17,2021-08-28,Mass Market,EMP0309,amanda.gonzalez@gmail.com,001-585-807-4622,East Christopherfurt,VA
CUS000166,Robert,Meza,1990-05-18,2020-03-27,Affluent,EMP0467,robert.meza@hotmail.com,(692)608-5804x4256,North Marvinbury,MN
CUS000167,Edgar,Vasquez,1998-05-18,2023-07-29,Mass Market,EMP0263,edgar.vasquez@gmail.com,976.365.4665,Gomezland,WV
CUS000168,Elizabeth,Washington,1975-05-18,2023-10-20,Affluent,EMP0018,elizabeth.washington@yahoo.com,(872)528-3598x449,Rachelburgh,FL
CUS000169,Angel,Rhodes,1988-05-17,2023-03-07,Mass Market,EMP0079,angel.rhodes@gmail.com,+1-720-473-1676x77953,East Isaiah,UT
CUS000170,George,Lane,1964-05-17,2023-03-21,Mass Market,EMP0188,george.lane@gmail.com,001-395-720-6641x519,East Matthewstad,MT
CUS000171,Michael,Hester,1943-05-18,2020-02-23,Affluent,EMP0256,michael.hester@yahoo.com,(528)857-9379x73414,Oconnellborough,ND
CUS000172,Eric,Montgomery,1972-05-17,2023-12-12,Mass Market,EMP0314,eric.montgomery@gmail.com,440-759-8223,Aaronbury,ME
CUS000173,Kendra,Kaiser,1996-05-17,2020-05-31,Mass Market,EMP0461,kendra.kaiser@yahoo.com,001-469-641-2994x78875,Andrewhaven,VA
CUS000174,Sally,Evans,1950-05-18,2023-12-24,Mass Market,EMP0278,sally.evans@yahoo.com,(648)641-8984x026,Sullivanborough,ME
CUS000175,Michael,Le,1953-05-17,2022-11-07,Mass Market,EMP0103,michael.le@hotmail.com,984.295.1048x71045,Lake Neilfurt,FL
CUS000176,Patricia,Smith,1980-05-17,2022-01-25,Mass Market,EMP0283,patricia.smith@gmail.com,6808234828,Harrisonview,FL
CUS000177,Melissa,Diaz,1993-05-17,2024-01-08,Affluent,EMP0270,melissa.diaz@hotmail.com,421.848.1658x26585,New Pamelamouth,NE
CUS000178,Tamara,Fleming,1995-05-18,2021-10-11,Affluent,EMP0231,tamara.fleming@yahoo.com,6427756912,Lake Caroline,NJ
CUS000179,Tanya,Thomas,1964-05-17,2024-05-16,Mass Market,EMP0301,tanya.thomas@yahoo.com,565-602-8223x56465,Tracyville,ID
CUS000180,Allison,Richards,1962-05-18,2022-11-27,Mass Market,EMP0085,allison.richards@hotmail.com,721.733.7424x2815,Port Shannonland,HI
CUS000181,Rick,Martinez,1964-05-17,2021-05-28,Mass Market,EMP0490,rick.martinez@gmail.com,465.256.7238,Matthewburgh,OK
CUS000182,Audrey,Tanner,1955-05-18,2020-07-10,Mass Market,EMP0087,audrey.tanner@hotmail.com,622.941.2437,Port Marcoshire,PA
CUS000183,Molly,Smith,1970-05-18,2023-02-28,Mass Market,EMP0443,molly.smith@hotmail.com,504.894.5306,Williamberg,AK
CUS000184,Jesse,Jones,1955-05-18,2024-04-19,Mass Market,EMP0317,jesse.jones@hotmail.com,001-874-990-3842x470,Brianaville,SD
CUS000185,Catherine,West,1955-05-18,2021-09-10,Mass Market,EMP0413,catherine.west@gmail.com,695.755.8139,North Calebhaven,UT
CUS000186,Holly,Joyce,1961-05-17,2020-11-19,Mass Market,EMP0248,holly.joyce@yahoo.com,+1-740-202-1090x6358,Spencerland,NJ
